state,postal_code,web_id,inc,class,state_id,party,party_id,cand,cand_id,fund_weight,exp_weight,fund_pct,exp_pct,poll_weight,state_sim_weight,poll_pct,state_sim_pct,proj_vote,variance,index,win
Oklahoma,OK,oklahoma,yes,Class III,OK,R,REP,James Lankford,James Lankford,40.0,40.0,68.31,67.07,0.0,0.0,0.0,0.0,67.69,7.0,74.0,99.96
Oklahoma,OK,oklahoma,,Class III,OK,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,28.94,30.19,0.0,0.0,0.0,0.0,29.57,7.0,75.0,0.04
Oklahoma,OK,oklahoma,,Class III,OK,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.37,1.37,0.0,0.0,0.0,0.0,1.37,7.0,76.0,0.0
Oklahoma*,OK*,oklahoma-special,,Class II,OKS,R,REP,REP_CAND,REP_CAND,40.0,40.0,68.92,67.68,0.0,0.0,0.0,0.0,68.3,7.0,77.0,99.98
Oklahoma*,OK*,oklahoma-special,,Class II,OKS,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,28.33,29.58,0.0,0.0,0.0,0.0,28.95,7.0,78.0,0.02
Oklahoma*,OK*,oklahoma-special,,Class II,OKS,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.37,1.37,0.0,0.0,0.0,0.0,1.37,7.0,79.0,0.0
Oregon,OR,oregon,,Class III,OR,R,REP,REP_CAND,REP_CAND,40.0,40.0,39.2,35.88,0.0,0.0,0.0,0.0,37.54,7.0,80.0,3.3
Oregon,OR,oregon,yes,Class III,OR,D,DEM,Ron Wyden,Ron Wyden,40.0,40.0,52.56,55.88,0.0,0.0,0.0,0.0,54.22,7.0,81.0,96.7
Oregon,OR,oregon,,Class III,OR,I,IND,IND_CAND,IND_CAND,40.0,40.0,4.12,4.12,0.0,0.0,0.0,0.0,4.12,7.0,82.0,0.0
Pennsylvania,PA,pennsylvania,,Class III,PA,R,REP,REP_CAND,REP_CAND,40.0,40.0,50.85,48.6,0.0,0.0,0.0,0.0,49.73,7.0,83.0,66.48
Pennsylvania,PA,pennsylvania,,Class III,PA,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,45.01,47.25,0.0,0.0,0.0,0.0,46.13,7.0,84.0,33.52
Pennsylvania,PA,pennsylvania,,Class III,PA,I,IND,IND_CAND,IND_CAND,40.0,40.0,2.07,2.07,0.0,0.0,0.0,0.0,2.07,7.0,85.0,0.0
South Carolina,SC,south-carolina,yes,Class III,SC,R,REP,Tim Scott,Tim Scott,40.0,40.0,59.76,58.48,0.0,0.0,0.0,0.0,59.12,7.0,86.0,98.92
South Carolina,SC,south-carolina,,Class III,SC,D,DEM,DEM_CAND,DEM_CAND,40.0,40.0,36.5,37.78,0.0,0.0,0.0,0.0,37.14,7.0,87.0,1.08
South Carolina,SC,south-carolina,,Class III,SC,I,IND,IND_CAND,IND_CAND,40.0,40.0,1.87,1.87,0.0,0.0,0.0,0.0,1.87,7.0,88.0,0.0
South Dakota,SD,south-dakota,yes,Class III,SD,R,REP,John Thune,John Thune,40.0,40.0,68.32,66.99,0.0,0.0,0.0,0.0,67.66,7.0,89.0,99.98
